Iteration, Processing_Time, Distance, Area, LoopClosures, Current Error 
1, 48.3, 0.575, 8.4425, 0, 0.0282794
2, 38.853, 0.875, 8.44, 0, 0.0368192
3, 43.474, 1.175, 8.4375, 0, 0.0462744
4, 48.419, 1.525, 8.4275, 0, 0.0901361
5, 47.472, 1.92811, 9.015, 0, 0.13187
6, 51.394, 2.22915, 9.7825, 0, 0.0603751
7, 46.889, 2.59316, 9.66, 0, 0.017552
8, 28.768, 3.00013, 10.445, 0, 0.0605222
9, 29.735, 3.25138, 10.445, 0, 0.111571
10, 42.089, 3.65216, 11.8825, 0, 0.0678981
11, 29.087, 3.90711, 11.8825, 0, 0.121419
12, 52.198, 4.10867, 17.4525, 0, 0.156984
13, 60.089, 4.4845, 23.1325, 0, 0.0950534
14, 63.914, 4.77712, 24.875, 0, 0.0888524
15, 45.418, 5.03207, 26.725, 0, 0.15355
16, 57.498, 5.35707, 28.4775, 0, 0.172169
17, 41.855, 5.62633, 29.8575, 0, 0.19108
18, 58.103, 5.95229, 31.695, 0, 0.171851
19, 65.74, 6.27825, 33.0625, 0, 0.191373
20, 56.541, 6.62914, 34.4825, 0, 0.212741
21, 56.67, 6.98003, 35.81, 0, 0.222027
22, 71.548, 7.20503, 36.215, 0, 0.216164
23, 67.298, 7.48003, 41.45, 0, 0.247787
24, 69.907, 7.73128, 46.645, 0, 0.275411
25, 75.372, 8.05724, 48.2125, 0, 0.28784
26, 52.67, 8.30848, 48.21, 0, 0.293121
27, 54.999, 8.63348, 50.2125, 0, 0.33895
28, 80.032, 8.88097, 50.9125, 0, 0.330402
29, 78.321, 9.21451, 52.1925, 0, 0.365246
30, 68.636, 9.445, 52.77, 0, 0.275589
31, 80.472, 9.77096, 53.555, 0, 0.359117
32, 81.7, 10.0015, 56.7775, 0, 0.271395
33, 67.683, 10.3274, 58.645, 0, 0.355399
34, 69.168, 10.5787, 59.2675, 0, 0.283543
35, 58.336, 10.8797, 59.2675, 0, 0.33031
36, 73.22, 11.149, 59.2675, 0, 0.0784857
37, 73.541, 11.3626, 59.2675, 0, 0.274889
38, 76.896, 11.6646, 59.2675, 0, 0.28154
39, 48.015, 12.0047, 59.2675, 0, 0.245904
40, 75.679, 12.3047, 59.2575, 0, 0.303929
41, 54.026, 12.5559, 59.25, 0, 0.334192
42, 71.98, 12.9068, 59.2375, 0, 0.25268
43, 50.862, 13.1568, 59.25, 0, 0.316528
44, 70.73, 13.4568, 59.25, 0, 0.290747
45, 71.823, 13.7818, 59.25, 0, 0.25832
46, 69.918, 13.9568, 59.25, 0, 0.410221
47, 51.312, 14.3318, 59.25, 0, 0.223096
48, 53.847, 14.6068, 59.25, 0, 0.313048
49, 71.367, 14.9328, 59.25, 0, 0.256306
50, 53.674, 15.2328, 60.2025, 0, 0.276665
51, 80.956, 15.6328, 60.61, 0, 0.187607
52, 47.889, 15.9828, 61.1375, 0, 0.247872
53, 64.626, 16.2589, 61.5575, 0, 0.304853
54, 61.871, 16.6089, 61.54, 0, 0.252119
55, 74.622, 16.8589, 61.9775, 0, 0.345533
56, 71.714, 17.1849, 62.62, 0, 0.287962
57, 74.962, 17.4099, 62.6175, 0, 0.345947
58, 76.22, 17.6349, 62.6125, 0, 0.369843
59, 76.156, 17.9349, 65.5325, 0, 0.293378
60, 66.131, 18.239, 66.72, 0, 0.312532
61, 77.91, 18.524, 67.245, 0, 0.335871
62, 74.361, 18.8002, 67.0825, 0, 0.344979
63, 78.881, 19.0752, 70.265, 0, 0.336255
64, 78.665, 19.4011, 71.4125, 0, 0.290604
65, 57.013, 19.752, 72.835, 0, 0.281258
66, 56.264, 20.0562, 73.13, 0, 0.333825
67, 78.206, 20.3062, 73.59, 0, 0.363343
68, 67.919, 20.7827, 75.1125, 0, 0.420348
69, 71.762, 21.1635, 74.7675, 0, 0.321401
